@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId,latitude,longitude
SensorSystem,Norge,NO,AGDER,42,1,2018,1970,49,True,"['01436', '10.249.1.145']","{'@type': 'Point', 'coordinates': [7.048, 57.9815], 'nearest': False}",,SN41770,16,LINDESNES,4205,LINDESNES FYR,,Lindesnes fyr,['MET.NO'],1863-01-01T00:00:00.000Z,0-20000-0-01436,1436.0,7.048,57.9815
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,1,2019,1964,56,True,"['01049', '10.249.0.50', 'ENAT']","{'@type': 'Point', 'coordinates': [23.3582, 69.9775], 'nearest': False}",['ENAT'],SN93140,3,ALTA,5403,ALTA LUFTHAVN,,Alta LH,"['AVINOR', 'MET.NO']",1963-12-01T00:00:00.000Z,0-20000-0-01049,1049.0,23.3582,69.9775
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,2,2019,1965,54,True,"['01025', '10.249.0.39', 'ENTC']","{'@type': 'Point', 'coordinates': [18.9133, 69.6767], 'nearest': False}",['ENTC'],SN90490,8,TROMSØ,5401,TROMSØ - LANGNES,,Tromsø LH,['AVINOR'],1964-09-30T00:00:00.000Z,0-20000-0-01025,1025.0,18.9133,69.6767
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15,1,2018,1984,35,True,['1226'],"{'@type': 'Point', 'coordinates': [8.5473, 62.6785], 'nearest': False}",,SN63420,6,SUNNDAL,1563,SUNNDALSØRA III,,Sunndalsøra,"['MET.NO', 'HYDRO ALUMINIUM SUNNDAL']",1954-06-01T00:00:00.000Z,,1226.0,8.5473,62.6785
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,1,2019,1980,40,True,"['01015', '10.249.0.114', '10.249.0.146']","{'@type': 'Point', 'coordinates': [17.8303, 69.6013], 'nearest': False}",,SN88690,14,SENJA,5421,HEKKINGEN FYR,,Hekkingen fyr,['MET.NO'],1979-11-01T00:00:00.000Z,0-20000-0-01015,1015.0,17.8303,69.6013
SensorSystem,Norge,NO,ROGALAND,11,2,2019,1929,89,True,"['01424', '10.249.1.86']","{'@type': 'Point', 'coordinates': [6.3499, 59.6479], 'nearest': False}",,SN46610,5,SAUDA,1135,SAUDA,,Sauda,['MET.NO'],1928-03-01T00:00:00.000Z,0-20000-0-01424,1424.0,6.3499,59.6479
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,2,2019,1941,78,True,"['01023', '10.249.0.36', '10.249.1.46', 'ENDU']","{'@type': 'Point', 'coordinates': [18.5437, 69.0577], 'nearest': False}",['ENDU'],SN89350,76,MÅLSELV,5418,BARDUFOSS,,Bardufoss,"['MET.NO', 'AVINOR']",1940-07-01T00:00:00.000Z,0-20000-0-01023,1023.0,18.5437,69.0577
SensorSystem,Norge,NO,VESTFOLD OG TELEMARK,38,3,2019,1995,21,True,"['01485', '1485', '3']","{'@type': 'Point', 'coordinates': [10.215, 59.6193], 'nearest': False}",,SN26990,60,HOLMESTRAND,3802,SANDE - GALLEBERG,,Sande,"['NIBIO', 'MET.NO']",1995-01-01T00:00:00.000Z,0-20000-0-01485,1485.0,10.215,59.6193
SensorSystem,Norge,NO,TRØNDELAG,50,1,2019,1940,80,True,"['01124', '10.249.0.222']","{'@type': 'Point', 'coordinates': [12.4692, 64.1587], 'nearest': False}",,SN70850,195,SNÅSA,5041,SNÅSA - KJEVLIA,,Snåsa - Kjevlia,['MET.NO'],1895-07-01T00:00:00.000Z,0-20000-0-01124,1124.0,12.4692,64.1587
SensorSystem,Norge,NO,NORDLAND,18,1,2019,1954,66,True,"['01152', 'ENBO']","{'@type': 'Point', 'coordinates': [14.3637, 67.267], 'nearest': False}",['ENBO'],SN82290,11,BODØ,1804,BODØ VI,,Bodø,"['AVINOR', 'MET.NO']",1953-01-01T00:00:00.000Z,0-20000-0-01152,1152.0,14.3637,67.267
SensorSystem,Norge,NO,NORDLAND,18,2,2019,1916,103,True,['10.249.0.213'],"{'@type': 'Point', 'coordinates': [13.9793, 66.8102], 'nearest': False}",,SN80700,39,MELØY,1837,GLOMFJORD,,Glomfjord,['MET.NO'],1916-01-01T00:00:00.000Z,0-578-0-80700,,13.9793,66.8102
SensorSystem,Svalbard og Jan Mayen,SJ,SVALBARD,21,1,2019,1946,74,True,"['01062', 'LML']","{'@type': 'Point', 'coordinates': [25.0133, 76.5097], 'nearest': False}",,SN99720,6,SVALBARD,2100,HOPEN,['LML'],Hopen,['MET.NO'],1944-11-01T00:00:00.000Z,0-20000-0-01062,1062.0,25.0133,76.5097
SensorSystem,Norge,NO,TROMS OG FINNMARK,54,2,2019,1965,53,True,"['01089', '10.249.0.54', 'ENKR']","{'@type': 'Point', 'coordinates': [29.8977, 69.7255], 'nearest': False}",['ENKR'],SN99370,89,SØR-VARANGER,5444,KIRKENES LUFTHAVN,,Kirkenes LH,['AVINOR'],1940-11-01T00:00:00.000Z,0-20000-0-01089,1089.0,29.8977,69.7255
SensorSystem,Norge,NO,VIKEN,30,1,2019,1956,64,True,"['01494', '10.249.0.11', '10.249.0.155', 'ENRY']","{'@type': 'Point', 'coordinates': [10.798, 59.3742], 'nearest': False}",['ENRY'],SN17150,40,MOSS,3002,RYGGE,,Rygge,"['MET.NO', 'AVINOR']",1955-03-01T00:00:00.000Z,0-20000-0-01494,1494.0,10.798,59.3742
