@type,country,countryCode,county,countyId,data_max_gap,data_max_year,data_min_year,data_nyears,data_success,externalIds,geometry,icaoCodes,id,masl,municipality,municipalityId,name,shipCodes,shortName,stationHolders,validFrom,wigosId,wmoId
SensorSystem,Norge,NO,TRØNDELAG,50.0,1.0,2019,2000,20,True,"['01245', '10.249.0.148']","{'@type': 'Point', 'coordinates': [9.6667, 62.6043], 'nearest': False}",,SN63705,604.0,OPPDAL,5021,OPPDAL - SÆTER,,Oppdal,['MET.NO'],1999-12-01T00:00:00.000Z,0-20000-0-01245,1245.0
SensorSystem,Norge,NO,MØRE OG ROMSDAL,15.0,40.0,2019,1961,20,True,['76'],"{'@type': 'Point', 'coordinates': [7.2173, 62.288], 'nearest': False}",,SN60650,34.0,NORDDAL,1524,LINGE,,Linge,['NIBIO'],1961-01-01T00:00:00.000Z,0-578-0-60650,
SensorSystem,Svalbard og Jan Mayen,SJ,SVALBARD,21.0,5.0,2019,1979,35,True,"['1005', '10.249.0.29', 'ENSA']","{'@type': 'Point', 'coordinates': [16.72, 77.8953], 'nearest': False}",['ENSA'],SN99760,9.0,SVALBARD,2100,SVEAGRUVA,,Sveagruva,['STORE NORSKE SPITSBERGEN KULKOMPANI AS'],1978-05-01T00:00:00.000Z,0-744-0-99760,1005.0
SensorSystem,Norge,NO,TRØNDELAG,50.0,1.0,2019,2008,12,True,"['01242', '10.249.0.162']","{'@type': 'Point', 'coordinates': [10.2237, 63.9678], 'nearest': False}",,SN71780,30.0,ÅFJORD,5058,ÅFJORD II,,Åfjord,['MET.NO'],2007-11-29T00:00:00.000Z,0-20000-0-01242,1242.0
SensorSystem,Norge,NO,TRØNDELAG,50.0,5.0,2019,1984,31,True,"['01240', '10.249.1.51']","{'@type': 'Point', 'coordinates': [9.4052, 64.1727], 'nearest': False}",,SN71850,16.0,FRØYA,5014,HALTEN FYR,,Halten fyr,['MET.NO'],1983-09-01T00:00:00.000Z,0-20000-0-01240,1240.0
SensorSystem,Norge,NO,AGDER,42.0,1.0,2018,1970,49,True,"['01436', '10.249.1.145']","{'@type': 'Point', 'coordinates': [7.048, 57.9815], 'nearest': False}",,SN41770,16.0,LINDESNES,4205,LINDESNES FYR,,Lindesnes fyr,['MET.NO'],1863-01-01T00:00:00.000Z,0-20000-0-01436,1436.0
SensorSystem,Norge,NO,TROMS OG FINNMARK,54.0,1.0,2019,1964,56,True,"['01049', '10.249.0.50', 'ENAT']","{'@type': 'Point', 'coordinates': [23.3582, 69.9775], 'nearest': False}",['ENAT'],SN93140,3.0,ALTA,5403,ALTA LUFTHAVN,,Alta LH,"['AVINOR', 'MET.NO']",1963-12-01T00:00:00.000Z,0-20000-0-01049,1049.0
SensorSystem,Norge,NO,TRØNDELAG,50.0,2.0,2018,2002,16,True,"['01277', '10.249.0.113']","{'@type': 'Point', 'coordinates': [11.4493, 64.0217], 'nearest': False}",,SN71000,6.0,STEINKJER,5006,STEINKJER - SØNDRE EGGE,,Steinkjer,"['NVE', 'STEINKJER KOMMUNE', 'MET.NO']",1984-05-05T00:00:00.000Z,0-20000-0-01277,1277.0
SensorSystem,Norge,NO,TRØNDELAG,50.0,8.0,2019,1975,34,True,['01228'],"{'@type': 'Point', 'coordinates': [8.4667, 63.8467], 'nearest': False}",,SN65940,5.0,FRØYA,5014,SULA,,Sula,['MET.NO'],1975-01-01T00:00:00.000Z,0-20000-0-01228,1228.0
SensorSystem,Norge,NO,VESTFOLD OG TELEMARK,38.0,19.0,2019,1920,82,True,"['01455', '10.249.0.109']","{'@type': 'Point', 'coordinates': [8.5187, 59.0257], 'nearest': False}",,SN37230,252.0,NISSEDAL,3822,TVEITSUND,,Tveitsund,['MET.NO'],1944-06-01T00:00:00.000Z,0-20000-0-01455,1455.0
SensorSystem,Norge,NO,NORDLAND,18.0,1.0,2019,2006,14,True,"['01162', '10.249.0.19', 'ENSK']","{'@type': 'Point', 'coordinates': [15.0293, 68.58], 'nearest': False}",['ENSK'],SN86600,3.0,HADSEL,1866,STOKMARKNES LH - SKAGEN,,Stokmarknes LH,['AVINOR'],1972-06-01T00:00:00.000Z,0-20000-0-01162,1162.0
SensorSystem,Norge,NO,NORDLAND,18.0,1.0,2012,2010,3,True,"['01114', '10.249.0.116']","{'@type': 'Point', 'coordinates': [13.646, 66.9035], 'nearest': False}",,SN80740,9.0,MELØY,1837,REIPÅ,,Reipå,['MET.NO'],1995-07-01T00:00:00.000Z,0-20000-0-01114,1114.0
SensorSystem,Norge,NO,VESTFOLD OG TELEMARK,38.0,1.0,2019,2017,3,True,"['10.249.1.71,']","{'@type': 'Point', 'coordinates': [10.398, 59.1208], 'nearest': False}",,SN27420,32.0,FÆRDER,3811,TJØME,,Tjøme,['FÆRDER KOMMUNE'],2016-06-20T00:00:00.000Z,0-578-0-27420,
SensorSystem,Norge,NO,NORDLAND,18.0,,2012,2012,1,True,"['01146', '10.249.0.81']","{'@type': 'Point', 'coordinates': [13.904, 66.2348], 'nearest': False}",,SN79220,5.0,RANA,1833,SKAMDAL,,Skamdal,['BANE NOR'],2011-08-30T00:00:00.000Z,0-20000-0-01146,1146.0
SensorSystem,Norge,NO,VESTLAND,46.0,1.0,1926,1921,6,True,,"{'@type': 'Point', 'coordinates': [6.1469, 60.8028], 'nearest': False}",,SN52170,450.0,VAKSDAL,4628,EKSINGEDAL,,Eksingedal,['MET.NO'],1895-07-01T00:00:00.000Z,0-578-0-52170,
SensorSystem,Norge,NO,VESTLAND,46.0,1.0,2019,2006,14,True,"['01332', '10.249.1.70']","{'@type': 'Point', 'coordinates': [6.7642, 61.4233], 'nearest': False}",,SN55820,3.0,SOGNDAL,4640,FJÆRLAND - BREMUSEET,,Fjærland,['MET.NO'],2005-11-20T00:00:00.000Z,0-20000-0-01332,1332.0
SensorSystem,Norge,NO,VESTLAND,46.0,1.0,2019,2005,15,True,['01337'],"{'@type': 'Point', 'coordinates': [6.4265, 60.6251], 'nearest': False}",,SN51530,54.0,VOSS,4621,VOSSEVANGEN,,Vossevangen,['MET.NO'],2004-01-22T00:00:00.000Z,0-20000-0-01337,1337.0
SensorSystem,Norge,NO,ROGALAND,11.0,1.0,2019,2004,16,True,"['01408', '10.249.0.63', 'ENHD']","{'@type': 'Point', 'coordinates': [5.2115, 59.3445], 'nearest': False}",['ENHD'],SN47260,24.0,KARMØY,1149,HAUGESUND LUFTHAVN,,Haugesund LH,['AVINOR'],1975-04-01T00:00:00.000Z,0-20000-0-01408,1408.0
